funcid,dim,milestone,error
4,10,1,8.505103e+02
4,10,2,6.380469e+02
4,10,3,3.735721e+02
4,10,5,1.259290e+02
4,10,10,4.402523e+00
4,10,20,3.634643e+00
4,10,30,2.951901e+00
4,10,40,2.708879e+00
4,10,50,2.583184e+00
4,10,60,2.476461e+00
4,10,70,2.384748e+00
4,10,80,2.235516e+00
4,10,90,2.093763e+00
4,10,100,1.797134e+00
4,10,1,8.505103e+02
4,10,2,6.380469e+02
4,10,3,3.735721e+02
4,10,5,1.259290e+02
4,10,10,4.402523e+00
4,10,20,3.634643e+00
4,10,30,2.951901e+00
4,10,40,2.708879e+00
4,10,50,2.583184e+00
4,10,60,2.476461e+00
4,10,70,2.384748e+00
4,10,80,2.235516e+00
4,10,90,2.093763e+00
4,10,100,1.797134e+00
